Trian Data: 515   Validation Data: 172  Test Data: 172
model ResNet_2D(
  (conv1): Sequential(
    (0): Conv2d(61, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
    (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (layer1): Sequential(
    (0): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
    (1): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
  )
  (layer2): Sequential(
    (0): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
    (1): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
  )
  (layer3): Sequential(
    (0): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
  )
  (layer4): Sequential(
    (0): BasicBlock(
      (conv1): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
      (bn2): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (shortcut): Sequential()
    )
  )
  (conv2): Sequential(
    (0): Conv2d(64, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (conv3): Sequential(
    (0): Conv2d(32, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(16, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (conv4): Sequential(
    (0): Conv2d(16, 1, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(1, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
)
Epoch  0, trian_loss: 0.0100, trian_mae: 0.0974, trian_mse:0.0203, trian_r2: -3.9067, trian_cc: 0.1853
Epoch  0, val_loss: 0.0084, val_mae: 0.1035, val_mse: 0.0169, val_r2: -132.4370, val_cc: 0.1671
Epoch  1, trian_loss: 0.0052, trian_mae: 0.0759, trian_mse:0.0104, trian_r2: -112.7707, trian_cc: -0.0598
Epoch  1, val_loss: 0.0050, val_mae: 0.0758, val_mse: 0.0099, val_r2: -199.4818, val_cc: -0.0325
Epoch  2, trian_loss: 0.0043, trian_mae: 0.0692, trian_mse:0.0086, trian_r2: -415.0917, trian_cc: 0.0381
Epoch  2, val_loss: 0.0049, val_mae: 0.0753, val_mse: 0.0097, val_r2: -487.1316, val_cc: 0.0287
Epoch  3, trian_loss: 0.0042, trian_mae: 0.0683, trian_mse:0.0084, trian_r2: -680.5178, trian_cc: 0.0398
Epoch  3, val_loss: 0.0046, val_mae: 0.0717, val_mse: 0.0092, val_r2: -729.8271, val_cc: 0.0584
Epoch  4, trian_loss: 0.0042, trian_mae: 0.0683, trian_mse:0.0083, trian_r2: -749.7407, trian_cc: 0.0559
Epoch  4, val_loss: 0.0046, val_mae: 0.0722, val_mse: 0.0091, val_r2: -880.6763, val_cc: 0.0371
Epoch  5, trian_loss: 0.0042, trian_mae: 0.0681, trian_mse:0.0083, trian_r2: -871.4355, trian_cc: 0.0479
Epoch  5, val_loss: 0.0045, val_mae: 0.0722, val_mse: 0.0091, val_r2: -1015.0343, val_cc: 0.0409
Epoch  6, trian_loss: 0.0042, trian_mae: 0.0682, trian_mse:0.0083, trian_r2: -930.9783, trian_cc: 0.0702
Epoch  6, val_loss: 0.0046, val_mae: 0.0715, val_mse: 0.0091, val_r2: -1102.8435, val_cc: 0.0692
Epoch  7, trian_loss: 0.0042, trian_mae: 0.0686, trian_mse:0.0085, trian_r2: -893.6885, trian_cc: 0.0671
Epoch  7, val_loss: 0.0046, val_mae: 0.0719, val_mse: 0.0091, val_r2: -1239.0921, val_cc: 0.0668
Epoch  8, trian_loss: 0.0041, trian_mae: 0.0680, trian_mse:0.0083, trian_r2: -862.2291, trian_cc: 0.0940
Epoch  8, val_loss: 0.0046, val_mae: 0.0715, val_mse: 0.0091, val_r2: -824.1092, val_cc: 0.1009
Epoch  9, trian_loss: 0.0041, trian_mae: 0.0680, trian_mse:0.0083, trian_r2: -810.1325, trian_cc: 0.1000
Epoch  9, val_loss: 0.0045, val_mae: 0.0719, val_mse: 0.0091, val_r2: -686.2936, val_cc: 0.1019
Epoch 10, trian_loss: 0.0042, trian_mae: 0.0681, trian_mse:0.0083, trian_r2: -845.5467, trian_cc: 0.1009
Epoch 10, val_loss: 0.0045, val_mae: 0.0716, val_mse: 0.0091, val_r2: -678.4094, val_cc: 0.1078
Epoch 11, trian_loss: 0.0041, trian_mae: 0.0678, trian_mse:0.0083, trian_r2: -712.2102, trian_cc: 0.1144
Epoch 11, val_loss: 0.0045, val_mae: 0.0717, val_mse: 0.0091, val_r2: -668.5412, val_cc: 0.1104
Epoch 12, trian_loss: 0.0041, trian_mae: 0.0680, trian_mse:0.0083, trian_r2: -771.4840, trian_cc: 0.1058
Epoch 12, val_loss: 0.0045, val_mae: 0.0715, val_mse: 0.0090, val_r2: -807.6123, val_cc: 0.0996
Epoch 13, trian_loss: 0.0041, trian_mae: 0.0677, trian_mse:0.0082, trian_r2: -664.4726, trian_cc: 0.1238
Epoch 13, val_loss: 0.0045, val_mae: 0.0718, val_mse: 0.0091, val_r2: -568.6151, val_cc: 0.1280
Epoch 14, trian_loss: 0.0041, trian_mae: 0.0677, trian_mse:0.0082, trian_r2: -716.4133, trian_cc: 0.1258
Epoch 14, val_loss: 0.0045, val_mae: 0.0716, val_mse: 0.0090, val_r2: -468.4012, val_cc: 0.1273
Epoch 15, trian_loss: 0.0041, trian_mae: 0.0680, trian_mse:0.0083, trian_r2: -663.7681, trian_cc: 0.1130
